date,open,high,low,close,volume,amount,outstanding_share,turnover,code
2020-07-16,282.53,284.5,263.81,263.81,12485146.0,1276556403.0,126235696.0,0.09890345120765208,300223
2020-07-17,258.4,264.99,250.62,252.86,7524609.0,732518775.0,126235696.0,0.05960761685030833,300223
2020-07-20,259.32,259.32,237.86,250.36,11109316.0,1030575612.0,126235696.0,0.08800455300694028,300223
2020-07-21,246.93,253.13,243.45,249.88,7025947.0,660026170.0,126235696.0,0.05565737127159342,300223
2020-07-22,249.44,257.27,245.8,251.23,7410690.0,707871292.0,126235696.0,0.058705185892903064,300223
2020-07-23,247.88,251.2,239.49,244.66,5968998.0,551923139.0,126235696.0,0.04728454937183536,300223
2020-07-24,243.79,247.3,224.12,228.16,6413752.0,575362297.0,126235696.0,0.05080775250765837,300223
2020-07-27,229.4,238.62,229.34,236.65,5483352.0,489531473.0,126235696.0,0.043437412504938384,300223
2020-07-28,240.31,241.26,233.56,235.62,3538661.0,317120596.0,126235696.0,0.028032174037365788,300223
2020-07-29,237.28,243.53,235.59,243.27,4645674.0,424480767.0,126235696.0,0.03680158740519797,300223
2020-07-30,245.06,247.51,237.2,238.65,4605361.0,420684622.0,126235696.0,0.0364822403324017,300223
2020-07-31,239.94,243.87,237.44,241.0,4566556.0,416855496.0,126235696.0,0.036174839167520415,300223
2020-08-03,245.22,255.76,243.63,252.81,7034567.0,666335571.0,126235696.0,0.05572565623593504,300223
2020-08-04,253.39,254.42,244.85,246.69,4731342.0,443966051.0,126235696.0,0.03748022270974764,300223
2020-08-05,263.59,263.59,249.57,250.31,6687209.0,645206736.0,126235696.0,0.052973993980276385,300223
2020-08-06,248.12,249.7,242.58,245.93,4803717.0,447760721.0,126235696.0,0.038053554994460524,300223
2020-08-07,244.64,244.9,234.67,237.7,4770420.0,431087781.0,126235696.0,0.037789786495889405,300223
2020-08-10,234.93,241.26,234.7,237.91,2998916.0,269960886.0,126235696.0,0.023756481684863526,300223
2020-08-11,238.1,240.26,232.24,232.82,2973425.0,266339064.0,126235696.0,0.023554549895300612,300223
2020-08-12,233.35,234.14,224.15,230.42,3461855.0,298853821.0,126235696.0,0.027423740746040644,300223
2020-08-13,232.35,240.18,232.32,237.33,4267590.0,384631776.0,126235696.0,0.03380652331492671,300223
2020-08-14,237.36,239.07,232.24,237.04,2681018.0,239659555.0,126235696.0,0.02123819240478541,300223
2020-08-17,239.39,241.47,235.57,240.6,3603080.0,326610763.0,126235696.0,0.02854248135963064,300223
2020-08-18,240.44,244.69,238.23,240.65,3501850.0,321520693.0,126235696.0,0.027740568721544498,300223
2020-08-19,239.55,239.65,229.4,231.48,3802346.0,336344560.0,126235696.0,0.030121004759224364,300223
2020-08-20,228.74,233.22,225.31,231.37,2040047.0,178729113.0,126235696.0,0.016160619100955405,300223
2020-08-21,232.67,234.7,230.98,233.9,2368809.0,208989341.0,126235696.0,0.018764969616834846,300223
2020-08-24,233.61,244.58,232.03,241.45,4940174.0,450281390.0,126235696.0,0.03913452499204346,300223
2020-08-25,242.24,242.42,237.78,238.97,3044566.0,276866547.0,126235696.0,0.024118106815048574,300223
2020-08-26,237.31,238.6,227.08,229.37,3626623.0,318613789.0,126235696.0,0.028728981697855097,300223
2020-08-27,227.68,239.44,227.68,235.59,3415497.0,303686485.0,126235696.0,0.02705650705961965,300223
2020-08-28,233.88,236.25,229.4,233.61,2536390.0,223105469.0,126235696.0,0.02009249428149071,300223
2020-08-31,236.2,236.23,231.35,231.43,2362609.0,209329311.0,126235696.0,0.018715855141322308,300223
2020-09-01,229.55,232.35,228.16,232.27,2041216.0,177879512.0,126235696.0,0.0161698795560964,300223
2020-09-02,232.3,235.62,230.19,233.09,2540270.0,224467041.0,126235696.0,0.020123230437134043,300223
2020-09-03,232.8,243.56,229.92,239.13,4435516.0,399516108.0,126235696.0,0.03513678096249416,300223
2020-09-04,237.83,250.46,237.02,245.45,6372175.0,594171973.0,126235696.0,0.05047839241920922,300223
2020-09-07,243.9,249.38,238.62,239.68,4753286.0,438611414.0,126235696.0,0.03765405626630363,300223
2020-09-08,239.07,239.07,230.58,231.69,3690884.0,326064105.0,126235696.0,0.02923803739316334,300223
2020-09-09,229.19,229.19,208.57,220.93,4715803.0,392204319.0,126235696.0,0.03735712757507195,300223
2020-09-10,225.44,226.73,216.24,216.87,2580885.0,215980262.0,126235696.0,0.02044496986018915,300223
2020-09-11,214.13,219.67,213.5,218.56,1727432.0,142312786.0,125931052.0,0.013717283962656009,300223
2020-09-14,220.19,224.04,217.56,220.83,1649111.0,138378114.0,125931052.0,0.013095348397470705,300223
2020-09-15,215.13,220.96,203.03,217.61,3642782.0,293247758.0,125931052.0,0.028926797181047927,300223
2020-09-16,215.5,221.12,214.58,215.42,2074840.0,171293103.0,125931052.0,0.016475999898738238,300223
2020-09-17,215.71,224.23,215.71,221.43,3108894.0,259589804.0,125931052.0,0.02468727093616275,300223
2020-09-18,221.33,223.44,218.93,219.53,2084381.0,174727752.0,125931052.0,0.01655176357932752,300223
2020-09-21,221.43,223.2,217.64,218.22,1883615.0,157360883.0,125931052.0,0.014957510241397808,300223
2020-09-22,216.21,220.88,213.87,216.48,1629461.0,134682534.0,125931052.0,0.012939310631662157,300223
2020-09-23,217.4,219.64,215.03,219.11,1665865.0,137393835.0,125931052.0,0.013228389452348893,300223
2020-09-24,218.3,219.77,213.47,213.5,1602386.0,131598405.0,125931052.0,0.012724312030681677,300223
2020-09-25,215.26,216.11,206.3,207.46,1901640.0,151192071.0,125931052.0,0.015100644120720916,300223
2020-09-28,206.98,208.57,195.38,198.02,3122222.0,236184622.0,125931052.0,0.02479310662790302,300223
2020-09-29,199.34,210.68,199.13,206.59,2644082.0,207033930.0,125931052.0,0.020996267068427252,300223
2020-09-30,209.81,209.81,203.32,204.82,1331094.0,103816231.0,125931052.0,0.010570022078430663,300223
2020-10-09,209.7,211.12,205.35,206.8,1817438.0,143481935.0,125931052.0,0.014432008397738153,300223
2020-10-12,208.54,221.46,207.22,221.46,3664596.0,300839298.0,125931052.0,0.02910001895322847,300223
2020-10-13,221.62,223.07,219.11,219.51,1879445.0,157302154.0,125931052.0,0.014924396883462865,300223
2020-10-14,220.38,220.38,212.78,214.02,2157621.0,175365979.0,125931052.0,0.017133351669292814,300223
2020-10-15,214.5,216.08,211.78,212.81,1294172.0,105051452.0,125931052.0,0.010276829895775032,300223
2020-10-16,212.81,214.37,206.72,208.04,1555654.0,123563961.0,125931052.0,0.012353220077920099,300223
2020-10-19,209.78,212.05,207.25,207.56,1241203.0,98237366.0,125931052.0,0.009856210841469029,300223
2020-10-20,208.25,208.25,204.37,207.85,1066648.0,83406293.0,125931052.0,0.008470095207336154,300223
2020-10-21,207.85,208.04,200.87,201.5,1901465.0,146399973.0,125931052.0,0.0150992544714071,300223
2020-10-22,200.44,203.37,198.81,201.45,1161586.0,88850778.0,125931052.0,0.009223983930508259,300223
2020-10-23,200.44,203.21,195.78,196.96,1498665.0,112943604.0,125931052.0,0.011900678793662424,300223
2020-10-26,196.96,198.28,192.48,194.83,1111370.0,82302245.0,125931052.0,0.008825226045121898,300223
2020-10-27,194.33,194.72,190.03,190.85,1721245.0,125296207.0,125931052.0,0.013668153903772677,300223
2020-10-28,190.98,191.4,181.35,188.03,3243755.0,227398338.0,125931052.0,0.025758182342509137,300223
2020-10-29,185.05,189.05,183.25,185.34,2004963.0,141037185.0,125931052.0,0.01592111689815789,300223
2020-10-30,187.08,193.38,183.52,185.76,3481371.0,248529021.0,125931052.0,0.02764505612166251,300223
2020-11-02,186.29,189.05,178.77,185.42,3031739.0,209832864.0,125931052.0,0.024074594405834076,300223
2020-11-03,184.57,199.55,184.57,195.09,4685842.0,347080566.0,125931052.0,0.03720958354258805,300223
2020-11-04,195.07,196.04,186.31,188.03,4130571.0,297408819.0,125931052.0,0.03280025803326093,300223
2020-11-05,189.05,191.9,186.65,190.95,2691123.0,193650469.0,125931052.0,0.021369812744834373,300223
2020-11-06,192.46,200.0,189.85,199.39,5466237.0,406174761.0,125931052.0,0.04340658569262171,300223
2020-11-09,201.97,229.4,201.97,219.82,8601136.0,701076102.0,125931052.0,0.0683003585168176,300223
2020-11-10,217.53,218.32,204.69,206.8,6481174.0,517048663.0,125931052.0,0.051466051439004894,300223
2020-11-11,203.69,205.93,198.23,199.81,4060439.0,308624644.0,125931052.0,0.032243350115109023,300223
2020-11-12,201.71,203.56,197.81,198.05,2323399.0,176495332.0,125931052.0,0.01844977043469787,300223
2020-11-13,197.28,201.95,193.01,200.18,2267123.0,170622808.0,125931052.0,0.018002890978787343,300223
2020-11-16,200.39,201.63,192.96,194.75,2915310.0,215574154.0,125931052.0,0.023150048806072073,300223
2020-11-17,194.78,221.09,189.55,213.58,6562492.0,506402187.0,125931052.0,0.052111785741295956,300223
2020-11-18,210.94,229.26,209.33,224.2,10169941.0,852190268.0,125931052.0,0.0807580087554577,300223
2020-11-19,220.04,257.87,218.85,240.94,14283706.0,1325571072.0,125931052.0,0.11342481280947292,300223
2020-11-20,237.6,250.62,237.6,239.05,9650020.0,887953703.0,125931052.0,0.07662939240752153,300223
2020-11-23,245.24,256.82,233.83,250.36,9834704.0,923034447.0,125931052.0,0.07809594094393811,300223
2020-11-24,248.51,272.9,247.06,261.56,11561130.0,1138172427.0,125931052.0,0.09180523640825299,300223
2020-11-25,259.72,272.48,254.05,254.05,9645121.0,958549373.0,125931052.0,0.0765904901675879,300223
2020-11-26,255.76,261.01,245.03,247.75,7245490.0,691895018.0,125931052.0,0.05753537261008508,300223
2020-11-27,247.83,258.08,242.58,258.0,8415525.0,803062557.0,125931052.0,0.06682644880946441,300223
2020-11-30,258.16,270.11,250.49,250.75,10442909.0,1021428190.0,125931052.0,0.08292560757770848,300223
2020-12-01,248.99,254.29,245.22,251.15,6358609.0,601011585.0,125931052.0,0.05049278076387387,300223
2020-12-02,250.46,260.75,248.38,254.18,6990406.0,675948170.0,125931052.0,0.05550978800685315,300223
2020-12-03,253.84,257.08,244.11,244.16,6458485.0,606966285.0,125931052.0,0.051285881420255267,300223
2020-12-04,241.53,257.08,240.42,252.23,6854182.0,650200974.0,125931052.0,0.054428053217565435,300223
2020-12-07,260.72,263.65,250.23,255.5,6331867.0,614297036.0,125931052.0,0.050280426467016255,300223
2020-12-08,255.76,269.74,250.57,266.73,7698008.0,760958821.0,125931052.0,0.061128751628311655,300223
2020-12-09,262.72,266.31,246.3,250.38,7781410.0,758188527.0,125931052.0,0.06179103466871697,300223
2020-12-10,246.56,263.09,246.56,257.85,7109608.0,692547766.0,125931052.0,0.05645635359259923,300223
2020-12-11,258.43,264.86,250.49,263.67,9410208.0,929344838.0,125931052.0,0.07472508051469307,300223
2020-12-14,260.91,277.38,258.4,269.47,7479392.0,758390463.0,125931052.0,0.05939275406037266,300223
2020-12-15,267.71,269.74,254.87,257.87,5382949.0,531825428.0,125931052.0,0.042745207909483676,300223
2020-12-16,257.08,257.35,241.82,242.58,5815722.0,544327351.0,125931052.0,0.04618179478084563,300223
2020-12-17,238.62,249.22,231.51,245.22,5141336.0,465762272.0,125931052.0,0.04082659454000273,300223
2020-12-18,247.3,249.04,241.31,244.79,3342781.0,310251989.0,125931052.0,0.026544533273652,300223
2020-12-21,245.24,258.29,240.97,256.55,6001952.0,577972655.0,125931052.0,0.047660619876343124,300223
2020-12-22,257.24,265.44,252.12,253.39,5588204.0,547266129.0,125931052.0,0.044375107737526086,300223
2020-12-23,254.45,263.07,246.88,258.29,6183051.0,600355469.0,125931052.0,0.04909870045395952,300223
2020-12-24,255.32,261.91,247.85,252.28,4509946.0,435302989.0,125931052.0,0.03581281922428473,300223
2020-12-25,246.77,249.83,239.15,241.0,4412528.0,407652916.0,125931052.0,0.035039237185122536,300223
2020-12-28,241.29,245.22,237.78,238.1,3275429.0,298471864.0,125931052.0,0.026009700927456716,300223
2020-12-29,237.15,246.53,234.7,239.65,3433678.0,315180842.0,125931052.0,0.027266333008954775,300223
2020-12-30,237.31,242.58,235.49,237.83,3028803.0,274304009.0,125931052.0,0.024051280060774845,300223
2020-12-31,237.31,243.11,235.46,241.24,3384908.0,307968034.0,125931052.0,0.026879057597327147,300223
2021-01-04,239.94,243.5,229.26,243.5,6057334.0,545059511.0,125931052.0,0.04810040020947336,300223
2021-01-05,242.03,248.99,211.02,225.84,13185413.0,1150195025.0,125931052.0,0.10470342930193262,300223
2021-01-06,221.49,229.26,215.53,218.85,10358845.0,867754183.0,125931052.0,0.08225806769247032,300223
2021-01-07,219.38,220.62,208.49,212.49,6470098.0,523083365.0,125931052.0,0.051378098548720136,300223
2021-01-08,212.49,215.71,209.36,214.68,4460139.0,360613034.0,125931052.0,0.03541730914786609,300223
2021-01-11,218.19,219.59,210.41,213.31,5579713.0,455003621.0,125931052.0,0.04430768195281971,300223
2021-01-12,213.31,214.76,207.27,210.2,4801146.0,381877981.0,125931052.0,0.03812519568247552,300223
2021-01-13,209.36,214.87,200.39,214.26,7464203.0,593725710.0,125931052.0,0.059272140440786596,300223
2021-01-14,214.18,220.64,208.7,217.66,9432681.0,772324449.0,125931052.0,0.07490353530914678,300223
2021-01-15,213.58,213.58,200.55,205.4,8646529.0,676040865.0,125931052.0,0.06866081766711518,300223
2021-01-18,205.38,219.09,202.5,218.72,9085069.0,735049411.0,125931052.0,0.07214319943900731,300223
2021-01-19,218.51,219.43,210.94,211.97,7294151.0,595372621.0,125931052.0,0.05792178246871153,300223
2021-01-20,212.49,212.49,204.11,210.39,6140250.0,482171107.0,125931052.0,0.04875882399521287,300223
2021-01-21,210.04,213.26,206.61,211.26,4203509.0,335075585.0,125931052.0,0.033379447985553236,300223
2021-01-22,210.68,211.89,204.58,205.69,4180321.0,327439994.0,125931052.0,0.03319531548104593,300223
2021-01-25,201.71,209.2,197.99,199.07,4925302.0,377965562.0,125931052.0,0.03911110025508244,300223
