date,open,high,low,close,volume,symbol
2020-12-23,68.18,68.77,67.6,67.66,8523980.0,MU
2020-12-24,68.02,68.35,67.47,68.29,4848465.0,MU
2020-12-28,69.5,69.82,68.18,68.37,8345201.0,MU
2020-12-29,68.71,69.11,66.85,67.92,9403371.0,MU
2020-12-30,68.13,70.36,68.08,69.63,11620343.0,MU
2020-12-31,70.1,73.39,70.08,72.89,23214527.0,MU
2021-01-04,74.19,76.32,71.46,71.76,31149414.0,MU
2021-01-05,74.15,76.4,73.74,74.97,33418227.0,MU
2021-01-06,74.07,76.16,73.81,74.82,22390857.0,MU
2021-01-07,75.77,77.79,75.76,76.82,27945289.0,MU
2021-01-08,80.25,81.87,74.78,75.13,51272079.0,MU
2021-01-11,74.3,77.5,74.13,76.38,19941576.0,MU
2021-01-12,76.9,77.33,75.53,77.17,18230997.0,MU
2021-01-13,76.66,78.1,76.26,77.62,15067676.0,MU
2021-01-14,77.72,79.92,77.26,79.01,17639331.0,MU
2021-01-15,78.63,79.59,77.24,78.43,14322563.0,MU
2021-01-19,78.99,83.39,78.67,83.21,26602543.0,MU
2021-01-20,83.64,84.96,80.94,81.21,21191673.0,MU
2021-01-21,81.71,82.81,80.22,82.72,14703299.0,MU
2021-01-22,81.79,82.66,79.93,79.99,14229542.0,MU
2021-01-25,80.9,81.21,76.6,78.99,19283422.0,MU
2021-01-26,79.5,79.69,76.72,77.22,13677969.0,MU
2021-01-27,75.04,75.3,72.04,72.8,23513350.0,MU
2021-01-28,74.91,77.89,74.43,76.1,18351383.0,MU
2021-01-29,76.07,77.08,74.66,75.98,17934352.0,MU
2021-02-01,77.3,78.8,76.19,78.14,14900200.0,MU
2021-02-02,78.97,79.45,77.63,79.33,11386186.0,MU
2021-02-03,79.56,80.24,76.68,76.82,17456045.0,MU
2021-02-04,76.86,79.05,76.67,78.96,11519706.0,MU
2021-02-05,79.48,79.73,78.43,78.81,10958008.0,MU
2021-02-08,79.46,81.77,79.35,81.72,12394788.0,MU
2021-02-09,81.06,81.71,80.11,81.03,10362513.0,MU
2021-02-10,81.71,82.15,79.01,80.06,9869151.0,MU
2021-02-11,82.11,84.35,81.71,84.19,18750428.0,MU
