date,open,high,low,close,volume,symbol
2022-04-26,49.8,50.64,48.92,49.13,6116748.0,WDC
2022-04-27,48.59,50.33,48.59,49.6,4911944.0,WDC
2022-04-28,50.2,52.27,49.68,52.16,5801087.0,WDC
2022-04-29,52.7,54.2,52.47,52.62,8184987.0,WDC
2022-05-02,52.64,53.54,51.43,53.47,5633277.0,WDC
2022-05-03,59.59,62.16,58.76,61.27,21967493.0,WDC
2022-05-04,61.61,62.81,60.32,62.41,6438251.0,WDC
2022-05-05,61.28,61.86,59.88,60.74,4474999.0,WDC
2022-05-06,60.34,61.05,58.55,59.0,4634012.0,WDC
2022-05-09,57.6,60.02,55.75,56.08,5010947.0,WDC
2022-05-10,57.19,58.71,55.83,56.91,5485826.0,WDC
2022-05-11,56.88,58.85,55.14,55.3,4224719.0,WDC
2022-05-12,54.27,55.71,53.8,55.1,4246460.0,WDC
2022-05-13,56.0,58.22,56.0,58.0,3247971.0,WDC
2022-05-16,57.66,58.59,56.91,57.44,2899746.0,WDC
2022-05-17,58.6,61.21,58.58,60.74,4959636.0,WDC
2022-05-18,59.55,60.84,58.37,58.65,2736651.0,WDC
2022-05-19,58.15,59.14,57.48,57.56,2412794.0,WDC
2022-05-20,58.24,58.39,54.8,56.36,3147346.0,WDC
2022-05-23,56.68,57.61,56.55,56.89,3123401.0,WDC
2022-05-24,56.29,56.6,55.1,56.15,2227810.0,WDC
2022-05-25,55.56,58.99,55.55,58.65,3757085.0,WDC
2022-05-26,58.05,60.75,58.03,60.23,2722631.0,WDC
2022-05-27,60.83,61.8,60.61,61.8,2549373.0,WDC
2022-05-31,61.35,61.76,59.17,60.24,3635346.0,WDC
2022-06-01,60.44,61.01,58.98,59.83,2015802.0,WDC
2022-06-02,60.14,61.89,60.04,61.48,2353827.0,WDC
2022-06-03,60.26,60.73,59.53,59.63,1774012.0,WDC
2022-06-06,60.41,60.65,59.11,59.27,2467688.0,WDC
